,year,solver,track,instances,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize
0,2015,11-GRIS,EE-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
1,2015,16-Carneades,EE-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
2,2015,11-GRIS,DC-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
3,2015,11-GRIS,DC-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
4,2015,11-GRIS,DC-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
5,2015,16-Carneades,DC-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
6,2015,16-Carneades,DC-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
7,2015,16-Carneades,DC-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
8,2015,11-GRIS,DS-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
9,2015,11-GRIS,DS-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
10,2015,11-GRIS,DS-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
11,2015,16-Carneades,DS-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
12,2015,16-Carneades,DS-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
13,2015,16-Carneades,DS-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
14,2015,11-GRIS,SE-PR,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
