instances,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize,totoddcycles,isbipartite,maxwidth,t_c,nt_c,mx,mx2,mx3,mx4,px
2019/instances/A-1-admbuster_1000.tgf,1000,1498,0.001498,1,1000,0,0,1,0,1,1,0.000125,0,0.000125,0.000125,0.000125,0.000125,1.00012
2019/instances/A-1-admbuster_2000.tgf,2000,2998,0.0007495,1,2000,0,0,1,0,1,1,0.0005,0,0.0005,0.0005,0.0005,0.0005,1.0005
2019/instances/A-1-admbuster_4000.tgf,4000,5998,0.000374875,1,4000,0,0,1,0,1,1,0.002,0,0.002,0.002,0.002,0.002,1.002
2019/instances/A-1-admbuster_6000.tgf,6000,8998,0.000249944,1,6000,0,0,1,0,1,1,0.0045,0,0.0045,0.0045,0.0045,0.0045,1.0045
2019/instances/A-1-afinput_exp_acyclic_depvary_step3_batch_yyy01.tgf,50,1478,0.5912,3,13,1,38,38,1035,0,1,0,2.86465,2.86465,2.28152,1.06806,1.33246,2.13613
2019/instances/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf,26,90,0.133136,3,20,1,7,7,39,0,1,5.00E-10,2,2,2,1,1.50937,2
2019/instances/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy09.tgf,41,543,0.323022,3,22,1,20,20,0,1,1,0,2,2,2,1,1.40633,2
2019/instances/A-1-afinput_exp_acyclic_indvary3_step1_batch_yyy10.tgf,30,85,0.0944444,3,23,1,8,8,0,1,1,0,3.41184,3.41184,3.01833,1.22848,1.78966,2.45696
2019/instances/A-1-BA_120_30_3.tgf,121,157,0.0107233,6,84,13,3.84615,17,0,1,6,1.65E-08,139.054,139.054,118.442,18.6474,20.0773,383001
2019/instances/A-1-BA_180_10_2.tgf,181,199,0.0060743,6,162,10,2.9,7,0,1,6,0.000000033,72.1832,72.1832,62.8795,12.4032,13.9986,4061.35
2019/instances/A-1-BA_200_10_5.tgf,201,221,0.00547016,8,180,16,2.3125,4,0,1,7,3.65E-08,156.555,156.555,134.004,19.2377,21.0622,11148100
2019/instances/A-1-BA_40_80_5.tgf,41,73,0.0434265,4,8,5,7.6,29,0,1,3,0,88.763,88.763,77.3323,10.4282,10.9382,514.287
2019/instances/A-1-BA_60_70_3.tgf,61,102,0.027412,4,19,4,11.5,38,0,1,3,0,114.89,114.89,101.95,10.4347,11.6884,573.346
2019/instances/A-1-brookings-or-us.gml.50.tgf,12,18,0.125,4,6,3,3,5,0,1,2,0,21.9843,21.9843,17.857,4.02051,4.19751,55.7347
2019/instances/A-1-caravan-or-us.gml.80.tgf,19,37,0.102493,3,4,4,4.75,7,2,0,2,0,25.9339,25.9339,21.0105,6.19029,6.4192,51.2401
2019/instances/A-1-ER_100_100_1.tgf,102,5094,0.489619,1,1,1,102,102,2643,0,1,0,148.589,148.589,35.6194,5.9682,5.9682,5.9682
2019/instances/A-1-ferry2.pfile-L2-C1-05.pddl.3.cnf.tgf,205,334,0.00794765,23,143,37,2.67568,15,0,1,5,0,746.911,746.911,666.616,43.5492,51.2807,3.94E+23
2019/instances/A-1-ferry2.pfile-L2-C1-08.pddl.1.cnf.tgf,86,136,0.0183883,17,65,21,2,2,0,1,5,0,286.963,286.963,252.772,23.9266,26.8318,31377500000
2019/instances/A-1-ferry2.pfile-L3-C1-04.pddl.2.cnf.tgf,273,507,0.00680272,29,207,31,3.12903,37,51,0,4,0,920.848,920.848,816.834,38.3806,45.8142,1.75E+24
2019/instances/A-1-grd_1790_4_8.tgf,1790,64086,0.0200012,3,110,1,1681,1681,30988,0,1,1.17E-07,309.671,309.671,294.364,12.1319,1115980,24.2637
2019/instances/A-1-grd_2065_1_8.tgf,2065,21185,0.00496808,3,505,1,1561,1561,6504,0,1,4.58E-07,306.915,306.915,303.033,12.3092,825522,24.6184
2019/instances/A-1-grd_418_2_9.tgf,418,1747,0.00999863,3,143,1,276,276,435,0,1,6.25E-08,331.642,331.642,322.021,12.689,296.36,25.378
2019/instances/A-1-grd_489_5_8.tgf,489,5944,0.0248577,3,352,1,138,138,1190,0,1,2.19E-06,2,2,2,1,52.4988,2
2019/instances/A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf,16,30,0.117188,3,8,2,5,7,2,0,2,0.000000001,17.0834,17.0834,14.4388,3.03623,3.342,12.2174
2019/instances/A-1-stb_190_70.tgf,190,821,0.0227424,5,40,2,76,147,213,0,1,0.000000038,462.566,462.566,433.312,15.6512,62.1279,117.209
2019/instances/A-1-stb_291_2.tgf,291,3361,0.0396901,2,10,1,282,282,1696,0,1,4.50E-09,11300.1,11300.1,9320.74,96.544,265.67,96.544
2019/instances/A-1-stb_389_42.tgf,389,1652,0.0109172,3,34,1,356,356,568,0,1,0.000000033,245008,245008,229081,338.439,641.829,676.877
2019/instances/A-1-stb_437_137.tgf,437,1539,0.0080589,5,70,2,184.5,366,423,0,1,0.000000058,127814,127814,121989,247.967,718.123,1975.73
2019/instances/A-2-admbuster_10000.tgf,10000,14998,0.00014998,1,10000,0,0,1,0,1,1,0.0125,0,0.0125,0.0125,0.0125,0.0125,1.0125
2019/instances/A-2-admbuster_8000.tgf,8000,11998,0.000187469,1,8000,0,0,1,0,1,1,0.008,0,0.008,0.008,0.008,0.008,1.008
2019/instances/A-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.tgf,626,358110,0.913835,3,31,1,596,596,351123,0,1,0,2.51542,2.51542,2.069,1.0171,1.20342,2.03421
2019/instances/A-2-afinput_exp_cycles_depvary_step4_batch_yyy01.tgf,443,184836,0.941844,3,16,1,428,428,179846,0,1,0,2.73728,2.73728,2.08373,1.02072,1.13029,2.04144
2019/instances/A-2-afinput_exp_cycles_depvary_step4_batch_yyy03.tgf,457,198259,0.949293,3,19,1,439,439,196471,0,1,0,2.40448,2.40448,2.02846,1.00709,1.04365,2.01418
2019/instances/A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04.tgf,441,187078,0.961935,3,10,1,432,432,184560,0,1,0,3.17225,3.17225,2.105,1.02591,1.09267,2.05183
2019/instances/A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04.tgf,522,231830,0.850802,3,27,1,496,496,201068,0,1,0,5.69027,5.69027,2.74178,1.17085,2.01892,2.3417
2019/instances/A-2-BA_180_20_1.tgf,181,217,0.00662373,7,144,23,2.6087,7,0,1,7,2.05E-08,221.765,221.765,188.596,28.7996,31.2841,30834600
2019/instances/A-2-BA_200_30_2.tgf,201,261,0.00646024,7,140,18,4.38889,23,0,1,6,0.000000009,226.677,226.677,196.225,26.1388,29.3559,14032900
2019/instances/A-2-ferry2.pfile-L3-C4-09.pddl.2.cnf.tgf,1207,2390,0.00164053,55,959,72,4.44444,74,111,0,5,0,7346.29,7346.29,6757.94,99.7192,128.094,2.06E+51
2019/instances/A-2-grd_1697_5_7.tgf,1697,71714,0.0249023,3,352,1,1346,1346,22542,0,1,0.000002011,2,2,2,1,242733,2
2019/instances/A-2-grd_1948_5_1.tgf,1948,94841,0.024993,3,524,1,1425,1425,27010,0,1,0.000004452,2,2,2,1,346942,2
2019/instances/A-2-grd_3018_3_7.tgf,3018,137019,0.0150433,3,392,1,2627,2627,60406,0,1,1.48E-06,2,2,2,1,39660300,2
2019/instances/A-2-grd_3908_2_1.tgf,3908,152608,0.00999236,3,430,1,3479,3479,60695,0,1,0.000001157,5.30416,5.30416,5.2783,1.62455,615266000,3.24909
2019/instances/A-2-grd_5178_1_1.tgf,5178,134016,0.00499842,3,470,1,4709,4709,58706,0,1,4.99E-07,2156.09,2156.09,2118.69,32.5476,18922000000,65.0951
2019/instances/A-2-stb_422_250.tgf,422,4680,0.0262797,2,35,1,388,388,2395,0,1,0.000000058,3346.81,3346.81,2988.31,54.6654,763.131,54.6654
2019/instances/A-2-stb_428_430.tgf,428,3702,0.0202092,6,33,3,132.667,395,1659,0,1,2.95E-08,10435.1,10435.1,9463.07,99.2372,850.447,1458.56
2019/instances/A-2-stb_547_485.tgf,547,3440,0.011497,3,37,1,511,511,1404,0,1,0.000000068,1079780,1079780,997564,706.245,2300.02,1412.49
2019/instances/A-2-WS_300_16_70_30.tgf,300,2400,0.0266667,1,1,1,300,300,1124,0,1,0,139317,139317,118837,344.728,344.728,344.728
2019/instances/A-2-WS_300_16_90_30.tgf,300,2400,0.0266667,1,1,1,300,300,1141,0,1,0,139317,139317,118837,344.728,344.728,344.728
2019/instances/A-3-afinput_exp_acyclic_depvary_step5_batch_yyy01.tgf,551,286921,0.945059,3,19,1,533,533,282053,0,1,0,2.20184,2.20184,2.01895,1.00473,1.08001,2.00945
2019/instances/A-3-afinput_exp_acyclic_depvary_step6_batch_yyy04.tgf,574,310341,0.941923,3,17,1,558,558,306847,0,1,0,2.62442,2.62442,2.08216,1.02033,1.19688,2.04067
2019/instances/A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,848,698383,0.971185,3,13,1,836,836,693286,0,1,0,2.46429,2.46429,2.04495,1.01118,1.12032,2.02235
