instances,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize,totoddcycles,isbipartite,maxwidth,t_c,nt_c,mx,mx2,mx3,mx4,px
2015/testset7_scc_small/105005__283_61__0_2_288__1501667607.tgf,283,2147,0.0268077,18,61,55,5.03636,14,47,0,6,0,787.152,787.152,673.995,60.3308,74.9484,9.73E+23
2015/testset7_scc_small/110153__319_75__0_3_152__-1738801068.tgf,319,2506,0.0246263,24,75,62,4.93548,13,61,0,5,0,1289.1,1289.1,1097.3,66.8656,85.2419,1.75E+33
2015/testset7_scc_small/118030__334_37__0_7_162__390956103.tgf,334,3296,0.0295457,14,37,36,9.25,17,186,0,5,0,645.414,645.414,491.316,41.0253,59.6717,1.81E+16
2015/testset7_scc_small/162947__189_100__0_1_800__-2139321847.tgf,189,983,0.0275188,25,100,61,2.45902,9,49,0,5,0.000000006,924.097,924.097,854.585,63.4242,70.9995,1.24E+34
2015/testset7_scc_small/195170__397_76__0_1_14__1011580274.tgf,397,4012,0.0254554,30,76,64,6.01562,14,1504,0,6,5.00E-10,1347.69,1347.69,1162.7,67.7161,92.6581,1.89E+40
2015/testset7_scc_small/286424__242_98__0_4_496__1553772169.tgf,242,1439,0.0245714,19,98,66,3.18182,13,127,0,8,0.000000004,859.121,859.121,771.48,68.9612,80.1538,4.81E+26
2015/testset7_scc_small/33018__260_52__0_6_28__-2091790553.tgf,260,1878,0.0277811,21,52,45,5.62222,13,86,0,4,0,784.047,784.047,659.551,49.5543,63.6603,1.26E+27
2015/testset7_scc_small/33735__217_52__0_4_48__1468519206.tgf,217,1663,0.0353161,26,52,40,5.125,17,40,0,4,0.000000001,825.281,825.281,716.672,42.4893,54.4762,1.23E+29
2015/testset7_scc_small/37008__308_6__0_1_1__1700102015.tgf,308,9849,0.103822,4,6,6,51.3333,59,5805,0,2,0,120.622,120.622,50.1895,8.20895,20.8055,308.059
2015/testset7_scc_small/37400__332_4__0_1_1__887372887.tgf,332,14513,0.131668,2,4,4,83,87,4696,0,3,0,527.63,527.63,140.127,15.4351,19.242,28.8701
2015/testset7_scc_small/38100__318_28__0_1_4__1062613426.tgf,318,3357,0.0331969,10,28,28,11.3571,15,124,0,6,0,365.827,365.827,275.702,32.5675,49.5018,1.76E+11
2015/testset7_scc_small/41950__379_9__0_2_4__-2085298152.tgf,379,9350,0.0650928,4,9,9,42.1111,55,329,0,4,0,445.614,445.614,178.833,18.1606,27.802,1037.37
2015/testset7_scc_small/46469__330_28__0_1_2__725501891.tgf,330,3626,0.0332966,13,28,28,11.7857,18,1400,0,4,0,467.73,467.73,365.039,32.7068,51.0208,1.83E+14
2015/testset7_scc_small/47792__332_20__0_3_51__-684630010.tgf,332,4437,0.0402544,8,20,20,16.6,23,139,0,4,0,254.237,254.237,175.322,23.9661,39.6975,96240200
2015/testset7_scc_small/49594__306_89__0_1_4__-1039493399.tgf,306,2236,0.0238797,24,89,72,4.01389,12,182,0,5,5.00E-10,1193.76,1193.76,1083.79,75.0112,92.8716,2.75E+34
2015/testset7_scc_small/520734__379_68__0_8_768__2107883474.tgf,379,3796,0.026427,20,68,58,6.36207,12,1678,0,5,0.000000001,1138.95,1138.95,925.968,64.1878,84.903,6.16E+27
2015/testset7_scc_small/58982__360_22__0_2_4__-561223781.tgf,360,5332,0.041142,11,22,22,16.3636,26,2153,0,3,0,310.03,310.03,235.368,25.1753,44.5773,99269500000
2015/testset7_scc_small/63423__285_21__0_4_180__433734015.tgf,285,3010,0.0370576,9,21,21,13.5714,19,69,0,4,0,382.943,382.943,263.5,27.7469,40.558,2818080000
2015/testset7_scc_small/65980__360_21__0_2_8__310170226.tgf,360,5298,0.0408796,8,21,21,17.1429,30,2477,0,3,0,319.587,319.587,207.194,25.9475,43.3916,272782000
2015/testset7_scc_small/67150__185_93__0_2_200__1061677976.tgf,185,875,0.0255661,16,93,55,2.67273,9,92,0,8,4.50E-09,759.09,759.09,702.199,57.7088,66.8763,5.97E+20
2015/testset7_scc_small/67628__291_89__0_1_30__-246384798.tgf,291,2151,0.0254012,28,89,67,4.01493,11,514,0,6,1.50E-09,1328.64,1328.64,1191.47,70.3122,86.6698,3.55E+37
2015/testset7_scc_small/70292__374_23__0_1_10__-2122175794.tgf,374,4998,0.0357316,9,23,23,16.2609,23,863,0,5,0,447.55,447.55,288.378,29.0477,46.5406,1582100000
2015/testset7_scc_small/82512__381_23__0_1_2__691831635.tgf,381,5583,0.0384607,13,23,23,16.5652,24,1447,0,3,0,444.872,444.872,323.401,27.326,46.4654,1.81E+13
2015/testset7_scc_small/85888__366_28__0_3_28__1701112791.tgf,366,4566,0.0340858,11,28,28,13.0714,23,1225,0,4,0,513.568,513.568,349.537,33.1334,51.7828,1.31E+12
2015/testset2_gr_medium/g_171985__2219__1_1_1__1463560817.tgf,2219,49363,0.0100251,3,497,1,1723,1723,15198,0,1,1.53E-06,2,2,2,1,1530020,2
2015/testset2_gr_medium/g_179080__2838__1_1_1__924555467.tgf,2838,80423,0.00998517,3,390,1,2449,2449,30474,0,1,0.000000963,2,2,2,1,23653300,2
2015/testset2_gr_medium/g_1969886__3896__1_1_1__407768342.tgf,3896,151631,0.00998965,3,568,1,3329,3329,56009,0,1,0.000002052,2,2,2,1,396016000,2
2015/testset2_gr_medium/g_1977497__4459__1_1_1__193203519.tgf,4459,198869,0.0100021,3,387,1,4073,4073,87624,0,1,0.000000753,34.3535,34.3535,33.866,4.11497,3232700000,8.22995
2015/testset2_gr_medium/g_2002351__4827__1_1_1__520355813.tgf,4827,232221,0.0099666,3,560,1,4268,4268,95157,0,1,2.09E-06,2,2,2,1,5434860000,2
2015/testset2_gr_medium/g_2036748__4685__1_1_1__764816800.tgf,4685,218638,0.00996108,3,548,1,4138,4138,90344,0,1,1.60E-06,3.98617,3.98617,3.97246,1.40934,3852250000,2.81867
2015/testset2_gr_medium/g_207507__2450__1_1_1__826439536.tgf,2450,60103,0.010013,3,343,1,2108,2108,23413,0,1,0.00000046,40.4193,40.4193,39.8126,4.46165,6938020,8.9233
